x,y,u_x,u_y,strain_xx,strain_yy,strain_xy,stress_xx,stress_yy,stress_xy
1e-07,1e-07,0.02729148187681688,0.010821893065556882,0.0509483401852036,0.02151263701917396,0.047840890239749835,6.307926515489646,4.04364165656429,1.8400342399903789
1e-07,0.22222229999999998,0.022400203829981705,0.015668147134725183,0.036453025317493296,0.02147450197766177,0.0355985085495373,4.713777572614487,3.5615834695505217,1.3691734057514346
1e-07,0.44444449999999996,0.01837003738723877,0.01916579708483838,0.02592171262888565,0.006102701998875284,0.025241474098379006,3.049727827312993,1.5251885480814265,0.9708259268607313
1e-07,0.6666666999999998,0.012418041647179091,0.018369078259010796,0.018389388567368877,-0.008367745830122581,0.015190740943518865,1.7449521778386927,-0.3132889296606499,0.5842592670584178
1e-07,0.8888888999999999,0.00419030230122788,0.017173279376018584,0.00680859495656705,-0.0017038235293395274,0.016030508829978127,0.6920272415126584,0.037225819519844744,0.6165580319222358
1e-07,1.1111111,-0.004218414236686795,0.017182863274324455,-0.006876773439909482,0.0017928373929544728,0.01601910595808524,-0.6965848595629826,-0.029691718573447504,0.6161194599263551
1e-07,1.3333332999999998,-0.012450551499071316,0.018398000184764292,-0.01844780258305629,0.00845744481310234,0.015180402682517647,-1.7484141911127018,0.32122022397642386,0.5838616416352942
1e-07,1.5555554999999999,-0.01838794068695097,0.019215604400625152,-0.02594337940344182,-0.006015359392888981,0.02539333224084762,-3.0492293649789572,-1.5163047487825856,0.9766666246479851
1e-07,1.7777777,-0.02236913987816465,0.015739975817900567,-0.036440544049959375,-0.021378429936270132,0.03578301182247717,-4.709238794597849,-3.5506146320063663,1.3762696854798913
1e-07,1.9999999,-0.02721170261493911,0.010915092911460218,-0.050921543128655315,-0.021417453985103974,0.047971610176801974,-6.301843881778737,-4.032298563044019,1.8450619298769995
0.22222229999999998,1e-07,0.03732010774958567,0.026415043834228033,0.03073641396506283,0.006578246122317264,0.02921159446757469,3.5944931650283523,1.736172561740232,1.123522864137488
0.22222229999999998,0.22222229999999998,0.029869075875939698,0.027920685008483236,0.0255273406571149,0.006846548088005698,0.023432820867746604,3.030912646540287,1.593928602762656,0.901262341067177
0.22222229999999998,0.44444449999999996,0.02404692473989038,0.029152004482374816,0.02371095138928543,0.003295651902059864,0.01964656100067197,2.7142469186707032,1.1438392658071956,0.7556369615643058
0.22222229999999998,0.6666666999999998,0.01631184686299904,0.029389380227723715,0.014084337846550965,-0.00038812651708996067,0.005425737144402539,1.534934054002635,0.42166756449179565,0.20868219786163644
0.22222229999999998,0.8888888999999999,0.0055479617030593205,0.02930796124754369,0.004308985719910201,-5.0327752425972623e-05,0.0035679311409382865,0.4718557576024625,0.13652395203814155,0.13722812080531904
0.22222229999999998,1.1111111,-0.005590564981385022,0.029316857938688122,-0.004365691059927668,0.00013138492212609324,0.0035546875930577175,-0.4754148992626199,-0.12948597756617664,0.13671875357914323
0.22222229999999998,1.3333332999999998,-0.016356839958906477,0.02941686619677527,-0.014134245956689398,0.00047377748012153654,0.0054225699923653795,-1.5375948035882345,-0.4139006930643171,0.20856038432174556
0.22222229999999998,1.5555554999999999,-0.024069352065083992,0.029197082388648144,-0.023727449059197346,-0.00323294718475633,0.019830359607334768,-2.7139926609477194,-1.137492516759948,0.7627061387436453
0.22222229999999998,1.7777777,-0.02983559261196799,0.027978841938099224,-0.02552471273782413,-0.00678747294196762,0.023584103375183754,-3.028676331913671,-1.5873501937708636,0.9070808990455282
0.22222229999999998,1.9999999,-0.03723720079192907,0.02648745187774044,-0.03075134305843759,-0.006510083858618783,0.02929490440905789,-3.5938866171454085,-1.7291743710055016,1.1267270926560724
0.44444449999999996,1e-07,0.03537708047609264,0.03527975916656163,-0.055828500973403174,0.002180909047326946,-0.023982234884606185,-6.063102006506053,-1.600839697219121,-0.9223936494079296
0.44444449999999996,0.22222229999999998,0.02952717224902586,0.03587362356874274,-0.036531613393266625,0.003666878339071587,-0.015564079359813016,-3.8935769111588043,-0.8013852394404829,-0.5986184369158853
0.44444449999999996,0.44444449999999996,0.024981888401769722,0.03704889763615749,-0.0282264787300674,0.006068813916401437,-0.013579137207205707,-2.901740061005163,-0.26364062666140514,-0.5222745079694519
0.44444449999999996,0.6666666999999998,0.01622045616283747,0.03783124170970814,-0.020553864402931644,0.0008998613085777723,-0.03601254096637208,-2.2290006604789374,-0.5787140672859027,-1.385097729475849
0.44444449999999996,0.8888888999999999,0.005329377344006679,0.03786634670477853,-0.00745132570558039,-0.00019040830397800941,-0.035399232717449235,-0.8251041974476695,-0.26657208963210177,-1.361508950671125
0.44444449999999996,1.1111111,-0.005377179418887641,0.037871901648619186,0.007474314026543708,0.00024076344713023568,-0.03542270164953342,0.829290446228877,0.2728634785816864,-1.3624116019051309
0.44444449999999996,1.3333332999999998,-0.016268863788846392,0.03784826755796864,0.02059383130710686,-0.0008529077664640363,-0.036082323177920844,2.2349405469414987,0.5851913874360463,-1.3877816606892617
0.44444449999999996,1.5555554999999999,-0.02500409620935143,0.037072201874277136,0.028252648032362764,-0.006060715437398905,-0.013506238509753219,2.904882791334403,0.2653932936604314,-0.5194707119135862
0.44444449999999996,1.7777777,-0.02949995945137585,0.03590021968496603,0.0364623978456557,-0.0036389105526823807,-0.015567139134133677,3.886892821961643,0.802176791320256,-0.5987361205436041
0.44444449999999996,1.9999999,-0.03531269551587825,0.0353138217133398,0.055670017555061985,-0.002144007061217268,-0.02401942422137894,6.046902795241405,1.599670132450695,-0.9238240085145738
