x,y,u_x,u_y,strain_xx,strain_yy,strain_xy,stress_xx,stress_yy,stress_xy
1e-07,1e-07,0.0,0.0,0.023115837808918346,-0.48301740038482516,-0.5692776814156378,-9.368414023579168,-36.621742234011506,-15.326706807344095
1e-07,0.40000008000000004,-0.009918053694793968,-0.09457946115003676,-0.006066878741516058,-0.01273274998589101,-0.04387510639653394,-0.7605156720987192,-1.1194472006419875,-1.181252864522068
1e-07,0.80000006,-0.024508216911937115,-0.12031800607304878,0.01900004623946542,-0.025284261447934907,0.03900071608083422,0.8780590619296156,-1.5064805827765448,1.050019279099383
1e-07,1.2000000400000002,-0.031067605734567984,-0.15000874699183495,0.03348433580909528,-0.086185426344753,0.013486921058494361,0.5868236850514894,-5.856932738617259,0.3631094131133091
1e-07,1.6000000200000002,-0.04308114185001255,-0.1854220489957073,0.023182458032599777,-0.08968401749301655,0.0021727324121880707,-0.28636517040809123,-6.363790775633583,0.058496641866602264
1e-07,2.0,-0.053673249237267524,-0.2132971794389803,0.0311188143230026,-0.06449673079555335,0.00043955549592139716,0.9053688526412763,-4.243160499896351,0.011834186428653009
1e-07,2.39999998,-0.039709398742709755,-0.24253686351573517,0.022826622110170388,-0.0955367127875493,-0.00045283037895558153,-0.4487993635457218,-6.822209704192162,-0.012191587125727273
1e-07,2.79999996,-0.024587780085307775,-0.282182621357379,0.030212411852309384,-0.10458155571153668,-0.0032502168924531576,-0.08938883547320026,-7.347525550449522,-0.08750583941220032
1e-07,3.19999994,-0.018713386107968452,-0.31982312312712674,0.024641368814972826,-0.09264316904823339,-0.004144353321791482,-0.24242937688440608,-6.5577506464416535,-0.11157874327900148
1e-07,3.59999992,-0.017824227725651044,-0.3522918005418406,0.02098589720224277,-0.07850957356648502,-0.0020472913125025435,-0.19745960520790534,-5.554908031216324,-0.055119381490453104
1e-07,3.9999999,-0.01636162919001317,-0.3815602631929221,0.019844035367196165,-0.07387453706198376,0.00020400963911325836,-0.1783327501076123,-5.224717419371146,0.005492567206895433
0.20000008,1e-07,0.006189853998736481,-0.08655035993019304,0.03022978915626199,-0.17666343212028157,0.08287284120008584,-1.751480036909423,-12.891884259492537,2.231191878463849
0.20000008,0.40000008000000004,-0.01270511232886277,-0.08290057775304535,-0.019072514058886124,-0.059484323352189235,0.05057085011222157,-2.8398316203494556,-5.015852120758087,1.3615228876367367
0.20000008,0.80000006,-0.020615451465546327,-0.11330125330373754,0.019605681926367698,-0.040857915568631276,0.05372582941817144,0.5652544042906363,-2.690477768516996,1.446464638181542
0.20000008,1.2000000400000002,-0.024594447364155832,-0.14241479457840847,0.029270441195472997,-0.08025197901719511,0.03224363488153227,0.3996036531011143,-5.4977574352733285,0.8680978621950962
0.20000008,1.6000000200000002,-0.03801657593628487,-0.17820114980335136,0.03150939274878661,-0.08688314724720722,-0.013083202252290028,0.4188037365095703,-5.956179186351634,-0.35224006063858554
0.20000008,2.0,-0.04845591743879019,-0.21382686519156438,0.016431455747709846,-0.08437517499465892,0.0031450284672333378,-0.6831612885144462,-6.111210636180459,0.08467384334858953
0.20000008,2.39999998,-0.03451709417777773,-0.250130604886153,0.0336108336305489,-0.0916996659566661,0.018972457539604533,0.46930260334992735,-6.278185835961647,0.5107969337585845
0.20000008,2.79999996,-0.018493162722427275,-0.2883525711682036,0.03007757361529028,-0.0896600861870049,-0.016399258424879215,0.2445805968606836,-6.202831854032143,-0.4415184960544396
0.20000008,3.19999994,-0.013578506422058365,-0.32256588961640265,0.027257549640624306,-0.08562703758420848,-0.013639723560455739,0.12072602810475155,-5.957674822463158,-0.3672233266276522
0.20000008,3.59999992,-0.013441540479250376,-0.35346968034179066,0.022838633770977754,-0.07572684779351717,-0.0079020693162618,0.009275340994046472,-5.2980967432479895,-0.21274802005320578
0.20000008,3.9999999,-0.012246033449722365,-0.38279943532925614,0.02120114361413263,-0.0718719390126429,-0.0020245991895397174,-0.027726006896940752,-5.039353532954085,-0.05450843971837449
0.40000006,1e-07,0.003634456687177085,-0.0032628689840364846,-0.03839818824069536,-0.25776522065681157,0.12700454221284835,-8.90213495674914,-20.71420593300155,3.419353059576687
0.40000006,0.40000008000000004,-0.01280260766821679,-0.06573349470695948,0.015067945290432469,-0.0660887527572689,0.06979862394490402,-0.3660523489806312,-4.736028397703011,1.8791937215935692
0.40000006,0.80000006,-0.015504877290770292,-0.09955165087160317,0.02786445566206331,-0.06838427511127793,0.04692578969809652,0.5653210098984542,-4.6173029548199205,1.2633866457179836
0.40000006,1.2000000400000002,-0.01804405417516955,-0.13120684372470387,0.036738131191563064,-0.0799238963335722,0.047220866167821875,0.9816124839608751,-5.300188998161794,1.2713310122105885
0.40000006,1.6000000200000002,-0.03039665598141634,-0.16924840278193415,0.03855142266985035,-0.09956181683500188,0.017721919251267818,0.667913663026905,-6.768953079542061,0.4771285952264413
0.40000006,2.0,-0.044762096158397886,-0.21376618634702133,0.027591691579778622,-0.10827554376517734,0.0045181548797299746,-0.3762285807518897,-7.6921566377879795,0.12164263137734511
0.40000006,2.39999998,-0.02689334096855774,-0.25836929073361714,0.03620049625207873,-0.09827941894219981,-0.00934906533980694,0.516666966878368,-6.7245592358904815,-0.251705605302495
0.40000006,2.79999996,-0.01255549397818005,-0.2961986240826938,0.02976808827603427,-0.07873808914808032,-0.02780257065071488,0.47282011781617256,-5.369820205020767,-0.7485307482884784
0.40000006,3.19999994,-0.009148526425339412,-0.3272169751364503,0.019232582738813855,-0.07637290077754703,-0.016926498545045583,-0.28302211495771273,-5.431009688915642,-0.45571342236661216
